"","ad1","ad2","ad3","egg1","egg2","juv1","juv2","met1","met2","met3","nej_1h1","nej_1h23","nej_24h1","nej_24h2","nej_3h1","nej_3h2"
"rnd-1_family-504#Unknown",0,0,39.5026103495265,0,0,0,0,0,0,0,0,0,0,0,0,0
"rnd-1_family-505#Unknown",217.252117315141,180.829603016174,99.8649937267645,235.813457379754,106.058356527409,401.941993090035,263.428213203657,706.485140225922,617.520746477817,746.400840328691,530.448395241565,923.051147044456,275.861994664287,308.56546428678,212.514340367798,233.648746964238
"rnd-1_family-506#Unknown",740.495632967612,119.32049689991,383.502424052977,143.50522442118,276.768577689517,219.340221018774,168.036469199943,1440.17172387395,1897.04717933506,1571.70990221292,1836.3861015493,1674.15692575701,1005.62507143007,1006.13483779184,1202.81898377805,717.895988564048
"rnd-1_family-507#Unknown",484.602243863942,277.094670608053,568.606908980459,438.150496016791,531.768277770789,584.134988980632,402.666542879488,674.198890696052,710.094081091084,623.8653755216,740.928061251941,600.01455895178,882.211219582936,746.756563186713,813.193156811213,1070.32169536969
"rnd-1_family-508#Unknown",93.4756640253553,72.6823099661192,244.074901075257,40.8045060391289,221.937357527971,28.6889723190026,33.2085535323853,15.549752424468,24.7990319400825,0,0,23.8489286776308,0,0,0,0
"rnd-1_family-509#DNA/TcMar-ISRm11",2340.73657784774,372.857711929632,1187.33174737097,89.1848254553394,64.3492690266886,142.243296951799,181.146519358649,333.231432282152,260.277982492028,206.169161968743,129.555305260932,137.777597039975,179.560423510971,88.1269675530858,61.8674883913879,48.3604572610348
"rnd-1_family-51#LINE",292.284766489295,128.565860165233,71.4875559651679,250.774165040111,193.861097328981,281.757714870005,129.592302830853,172.816617440113,171.462475595846,228.17162434527,122.29225775808,227.352015556625,146.487371270624,117.788608329052,112.799689104054,144.752290967261
"rnd-1_family-510#LINE",11.5985767345405,16.5787040730025,6.70089720009215,31.2760253374277,17.7921157039424,35.1239836088715,26.4121751824959,60.3753361213012,15.66424577156,42.1223845077385,34.5532897598563,27.3929591787238,36.4627503026339,31.1995383046041,48.6291069543251,39.0473058662241
"rnd-1_family-511#Unknown",2600.30937468797,689.659960829453,3567.56896005284,1735.99186404652,851.343894006759,1747.12353082555,1320.10054278496,4790.31302117268,4304.40084299383,4139.56225817427,2911.93039672868,4331.50757273114,3018.50568287541,3177.29981021517,3389.39350171292,3880.67747715305
"rnd-1_family-512#LINE/RTE-BovB",40.2273185339332,17.8425347743284,15.5214663692956,46.5967136787573,30.9952484267041,36.8460981110544,24.1786940954355,49.7176878680851,35.9283447372487,43.3970126099044,24.8345570049218,40.9189819156182,16.9383909086789,12.4031067482888,13.3077347666149,32.9745777254515
